Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
IFI27L1,ENSG00000165948,Interferon alpha inducible protein 27 like 1,Q96BM0,611320.0,IFI27L1,122509.0,,,,
IFI27,ENSG00000165949,Interferon alpha inducible protein 27,P40305,600009.0,IFI27,3429.0,,,,
SERPINA12,ENSG00000165953,Serpin family A member 12,Q8IW75,617471.0,SERPINA12,145264.0,,,,
CLMN,ENSG00000165959,Calmin,Q96JQ2,611121.0,CLMN,79789.0,Nuclear bodies,Cytosol,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604)
PDZRN4,ENSG00000165966,PDZ domain containing ring finger 4,Q6ZMN7,609730.0,PDZRN4,29951.0,Mitochondria,,,Mitochondria (GO:0005739)
SLC6A5,ENSG00000165970,Solute carrier family 6 member 5,Q9Y345,604159.0,SLC6A5,9152.0,,,,
CCDC38,ENSG00000165972,Coiled-coil domain containing 38,Q502W7,,CCDC38,120935.0,,,,
NELL1,ENSG00000165973,Neural EGFL like 1,Q92832,602319.0,NELL1,4745.0,,,,
PTER,ENSG00000165983,Phosphotriesterase related,Q96BW5,604446.0,PTER,9317.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
C1QL3,ENSG00000165985,Complement C1q like 3,Q5VWW1,615227.0,C1QL3,389941.0,Vesicles,Cytosol,Predicted to be secreted,Cytosol (GO:0005829);Vesicles (GO:0043231)
CACNB2,ENSG00000165995,Calcium voltage-gated channel auxiliary subunit beta 2,Q08289,600003.0,CACNB2,783.0,,,,
HACD1,ENSG00000165996,3-hydroxyacyl-CoA dehydratase 1,B0YJ81,610467.0,HACD1,9200.0,,,,
ARL5B,ENSG00000165997,ADP ribosylation factor like GTPase 5B,Q96KC2,608909.0,ARL5B,221079.0,,,,
SMCO4,ENSG00000166002,Single-pass membrane protein with coiled-coil domains 4,Q9NRQ5,609477.0,SMCO4,56935.0,,,,
CEP295,ENSG00000166004,Centrosomal protein 295,Q9C0D2,617728.0,CEP295,85459.0,,,,
KCNC2,ENSG00000166006,Potassium voltage-gated channel subfamily C member 2,Q96PR1,176256.0,KCNC2,3747.0,,,,
TAF1D,ENSG00000166012,"TATA-box binding protein associated factor, RNA polymerase I subunit D",Q9H5J8,612823.0,TAF1D,79101.0,Nucleoplasm,Centriolar satellite;Mitotic spindle;Nucleoli,,Centriolar satellite (GO:0034451);Mitotic spindle (GO:0072686);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ABTB2,ENSG00000166016,Ankyrin repeat and BTB domain containing 2,Q8N961,,ABTB2,25841.0,Nucleoplasm,Vesicles,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
R3HCC1L,ENSG00000166024,R3H domain and coiled-coil containing 1 like,Q7Z5L2,,R3HCC1L,27291.0,Nuclear speckles;Nucleoplasm,,,Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
AMOTL1,ENSG00000166025,Angiomotin like 1,Q8IY63,614657.0,AMOTL1,154810.0,Cytosol,Cell Junctions,,Cell Junctions (GO:0030054);Cytosol (GO:0005829)
HTRA1,ENSG00000166033,HtrA serine peptidase 1,Q92743,602194.0,HTRA1,5654.0,Plasma membrane,,Predicted to be secreted,Plasma membrane (GO:0005886)
LIPC,ENSG00000166035,"Lipase C, hepatic type",P11150,151670.0,LIPC,3990.0,,,,
CEP57,ENSG00000166037,Centrosomal protein 57,Q86XR8,607951.0,CEP57,9702.0,Centrosome;Cytosol,Centriolar satellite,,Centriolar satellite (GO:0034451);Centrosome (GO:0005813);Cytosol (GO:0005829)
TCP11L2,ENSG00000166046,T-complex 11 like 2,Q8N4U5,619889.0,TCP11L2,255394.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
PASD1,ENSG00000166049,PAS domain containing repressor 1,Q8IV76,300993.0,PASD1,139135.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
SPRED1,ENSG00000166068,Sprouty related EVH1 domain containing 1,Q7Z699,609291.0,SPRED1,161742.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
TMCO5A,ENSG00000166069,Transmembrane and coiled-coil domains 5A,Q8N6Q1,,TMCO5A,145942.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
GPR176,ENSG00000166073,G protein-coupled receptor 176,Q14439,612183.0,GPR176,11245.0,,,,
JAM3,ENSG00000166086,Junctional adhesion molecule 3,Q9BX67,606871.0,JAM3,83700.0,Golgi apparatus,,Predicted to be secreted,Golgi apparatus (GO:0005794)
IL25,ENSG00000166090,Interleukin 25,Q9H293,605658.0,IL25,64806.0,,,,
CMTM5,ENSG00000166091,CKLF like MARVEL transmembrane domain containing 5,Q96DZ9,607888.0,CMTM5,116173.0,Golgi apparatus;Vesicles,,,Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
GLB1L3,ENSG00000166105,Galactosidase beta 1 like 3,Q8NCI6,,GLB1L3,112937.0,,,,
ADAMTS15,ENSG00000166106,ADAM metallopeptidase with thrombospondin type 1 motif 15,Q8TE58,607509.0,ADAMTS15,170689.0,Cytosol,,Predicted to be secreted,Cytosol (GO:0005829)
SVOP,ENSG00000166111,SV2 related protein,Q8N4V2,611699.0,SVOP,55530.0,,,,
SPATA19,ENSG00000166118,Spermatogenesis associated 19,Q7Z5L4,609805.0,SPATA19,219938.0,,,,
GPT2,ENSG00000166123,Glutamic--pyruvic transaminase 2,Q8TD30,138210.0,GPT2,84706.0,Mitochondria,,,Mitochondria (GO:0005739)
AMN,ENSG00000166126,Amnion associated transmembrane protein,Q9BXJ7,605799.0,AMN,81693.0,,,,
RAB8B,ENSG00000166128,"RAB8B, member RAS oncogene family",Q92930,613532.0,RAB8B,51762.0,,,,
IKBIP,ENSG00000166130,IKBKB interacting protein,Q70UQ0,609861.0,IKBIP,121457.0,Endoplasmic reticulum,Nucleoli rim,,Endoplasmic reticulum (GO:0005783);Nucleoli rim (GO:0005730)
RPUSD2,ENSG00000166133,RNA pseudouridine synthase domain containing 2,Q8IZ73,,RPUSD2,27079.0,Microtubules;Nucleoplasm,,,Microtubules (GO:0015630);Nucleoplasm (GO:0005654)
HIF1AN,ENSG00000166135,Hypoxia inducible factor 1 subunit alpha inhibitor,Q9NWT6,606615.0,HIF1AN,55662.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
NDUFB8,ENSG00000166136,NADH:ubiquinone oxidoreductase subunit B8,O95169,602140.0,NDUFB8,4714.0,Mitochondria,,,Mitochondria (GO:0005739)
ZFYVE19,ENSG00000166140,Zinc finger FYVE-type containing 19,Q96K21,619635.0,ZFYVE19,84936.0,,,,
PPP1R14D,ENSG00000166143,Protein phosphatase 1 regulatory inhibitor subunit 14D,Q9NXH3,613256.0,PPP1R14D,54866.0,,,,
SPINT1,ENSG00000166145,"Serine peptidase inhibitor, Kunitz type 1",O43278,605123.0,SPINT1,6692.0,Cytosol;Plasma membrane,Nucleoplasm,Predicted to be secreted,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
FBN1,ENSG00000166147,Fibrillin 1,P35555,134797.0,FBN1,2200.0,Golgi apparatus,Plasma membrane,Predicted to be secreted,Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
AVPR1A,ENSG00000166148,Arginine vasopressin receptor 1A,P37288,600821.0,AVPR1A,552.0,,,,
C16orf78,ENSG00000166152,Chromosome 16 open reading frame 78,Q8WTQ4,,C16orf78,123970.0,Connecting piece;End piece;Mid piece;Principal piece,,,Connecting piece ();End piece ();Mid piece ();Principal piece ()
DEPDC4,ENSG00000166153,DEP domain containing 4,Q8N2C3,,DEPDC4,120863.0,Microtubules,,,Microtubules (GO:0015630)
LRTM2,ENSG00000166159,Leucine rich repeats and transmembrane domains 2,Q8N967,,LRTM2,654429.0,Cytosol,,,Cytosol (GO:0005829)
OPN1MW2,ENSG00000166160,"Opsin 1, medium wave sensitive 2",P0DN77,,OPN1MW2,728458.0,,,,
BRD7,ENSG00000166164,Bromodomain containing 7,Q9NPI1,618489.0,BRD7,29117.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
CKB,ENSG00000166165,Creatine kinase B,P12277,123280.0,CKB,1152.0,Cytosol,,,Cytosol (GO:0005829)
TRMT61A,ENSG00000166166,TRNA methyltransferase 61A,Q96FX7,620885.0,TRMT61A,115708.0,Mitochondria,,,Mitochondria (GO:0005739)
BTRC,ENSG00000166167,Beta-transducin repeat containing E3 ubiquitin protein ligase,Q9Y297,603482.0,BTRC,8945.0,Nucleoplasm,Cytosol;Plasma membrane,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
POLL,ENSG00000166169,DNA polymerase lambda,Q9UGP5,606343.0,POLL,27343.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
BAG5,ENSG00000166170,BAG cochaperone 5,Q9UL15,603885.0,BAG5,9529.0,Vesicles,,,Vesicles (GO:0043231)
DPCD,ENSG00000166171,Deleted in primary ciliary dyskinesia homolog (mouse),Q9BVM2,616467.0,DPCD,25911.0,Nucleoplasm;Vesicles,Mitotic spindle;Plasma membrane;Primary cilium,,Mitotic spindle (GO:0072686);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Primary cilium (GO:0005929);Vesicles (GO:0043231)
LARP6,ENSG00000166173,"La ribonucleoprotein 6, translational regulator",Q9BRS8,611300.0,LARP6,55323.0,Microtubules,Cytokinetic bridge,,Cytokinetic bridge (GO:0045171);Microtubules (GO:0015630)
API5,ENSG00000166181,Apoptosis inhibitor 5,Q9BZZ5,609774.0,API5,8539.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
ASPG,ENSG00000166183,Asparaginase,Q86U10,618472.0,ASPG,374569.0,,,,
ZNF319,ENSG00000166188,Zinc finger protein 319,Q9P2F9,,ZNF319,57567.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
HPS6,ENSG00000166189,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3,Q86YV9,607522.0,HPS6,79803.0,Cytosol,Vesicles,,Cytosol (GO:0005829);Vesicles (GO:0043231)
SENP8,ENSG00000166192,"SUMO peptidase family member, NEDD8 specific",Q96LD8,608659.0,SENP8,123228.0,Nucleoplasm;Vesicles,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
NOLC1,ENSG00000166197,Nucleolar and coiled-body phosphoprotein 1,Q14978,602394.0,NOLC1,9221.0,Nucleoli fibrillar center,,,Nucleoli fibrillar center (GO:0001650)
ALKBH3,ENSG00000166199,"AlkB homolog 3, alpha-ketoglutarate dependent dioxygenase",Q96Q83,610603.0,ALKBH3,221120.0,Nucleoplasm,Mitochondria,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
COPS2,ENSG00000166200,COP9 signalosome subunit 2,P61201,604508.0,COPS2,9318.0,Vesicles,Cytokinetic bridge,,Cytokinetic bridge (GO:0045171);Vesicles (GO:0043231)
GABRB3,ENSG00000166206,Gamma-aminobutyric acid type A receptor subunit beta3,P28472,137192.0,GABRB3,2562.0,,,,
SPIC,ENSG00000166211,Spi-C transcription factor,Q8N5J4,612568.0,SPIC,121599.0,,,,
TBATA,ENSG00000166220,"Thymus, brain and testes associated",Q96M53,612640.0,TBATA,219793.0,,,,
SGPL1,ENSG00000166224,Sphingosine-1-phosphate lyase 1,O95470,603729.0,SGPL1,8879.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
FRS2,ENSG00000166225,Fibroblast growth factor receptor substrate 2,Q8WU20,607743.0,FRS2,10818.0,Cell Junctions;Plasma membrane,,,Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
CCT2,ENSG00000166226,Chaperonin containing TCP1 subunit 2,P78371,605139.0,CCT2,10576.0,Cytosol,Connecting piece;Mid piece,,Connecting piece ();Cytosol (GO:0005829);Mid piece ()
PCBD1,ENSG00000166228,Pterin-4 alpha-carbinolamine dehydratase 1,P61457,126090.0,PCBD1,5092.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ARIH1,ENSG00000166233,Ariadne RBR E3 ubiquitin protein ligase 1,Q9Y4X5,605624.0,ARIH1,25820.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
DNAAF8,ENSG00000166246,Dynein axonemal assembly factor 8,Q8IYS4,,DNAAF8,146562.0,,,,
CLMP,ENSG00000166250,CXADR like membrane protein,Q9H6B4,611693.0,CLMP,79827.0,,,,
SCN3B,ENSG00000166257,Sodium voltage-gated channel beta subunit 3,Q9NY72,608214.0,SCN3B,55800.0,Cytosol;Plasma membrane,Vesicles,,Cytosol (GO:0005829);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
COX11,ENSG00000166260,Cytochrome c oxidase copper chaperone COX11,Q9Y6N1,603648.0,COX11,1353.0,,,,
ZNF202,ENSG00000166261,Zinc finger protein 202,O95125,603430.0,ZNF202,7753.0,Mitotic chromosome;Nucleoli rim,Nuclear bodies,,Mitotic chromosome (GO:0005694);Nuclear bodies (GO:0016604);Nucleoli rim (GO:0005730)
FAM227B,ENSG00000166262,Family with sequence similarity 227 member B,Q96M60,,FAM227B,196951.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
STXBP4,ENSG00000166263,Syntaxin binding protein 4,Q6ZWJ1,610415.0,STXBP4,252983.0,Plasma membrane,Cytosol,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
CYYR1,ENSG00000166265,Cysteine and tyrosine rich 1,Q96J86,616020.0,CYYR1,116159.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CUL5,ENSG00000166266,Cullin 5,Q93034,601741.0,CUL5,8065.0,Cytosol;Golgi apparatus,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
MYRFL,ENSG00000166268,Myelin regulatory factor like,Q96LU7,,MYRFL,196446.0,Nucleoli,,,Nucleoli (GO:0005730)
WBP1L,ENSG00000166272,WW domain binding protein 1 like,Q9NX94,611129.0,WBP1L,54838.0,Microtubules,Nucleoplasm,,Microtubules (GO:0015630);Nucleoplasm (GO:0005654)
BORCS7,ENSG00000166275,BLOC-1 related complex subunit 7,Q96B45,616600.0,BORCS7,119032.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
C2,ENSG00000166278,Complement C2,P06681,613927.0,C2,717.0,,,,
PLEKHF1,ENSG00000166289,Pleckstrin homology and FYVE domain containing 1,Q96S99,615200.0,PLEKHF1,79156.0,,,,
TMEM100,ENSG00000166292,Transmembrane protein 100,Q9NV29,616334.0,TMEM100,55273.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ANAPC16,ENSG00000166295,Anaphase promoting complex subunit 16,Q96DE5,613427.0,ANAPC16,119504.0,Cytosol,,,Cytosol (GO:0005829)
SMPD1,ENSG00000166311,Sphingomyelin phosphodiesterase 1,P17405,607608.0,SMPD1,6609.0,,,,
APBB1,ENSG00000166313,Amyloid beta precursor protein binding family B member 1,O00213,602709.0,APBB1,322.0,Plasma membrane,,,Plasma membrane (GO:0005886)
SYNPO2L,ENSG00000166317,Synaptopodin 2 like,Q9H987,,SYNPO2L,79933.0,,,,
NUDT13,ENSG00000166321,Nudix hydrolase 13,Q86X67,609233.0,NUDT13,25961.0,,,,
C11orf65,ENSG00000166323,Chromosome 11 open reading frame 65,Q8NCR3,,C11orf65,160140.0,,,,
TRIM44,ENSG00000166326,Tripartite motif containing 44,Q96DX7,612298.0,TRIM44,54765.0,Vesicles,Plasma membrane,,Plasma membrane (GO:0005886);Vesicles (GO:0043231)
CCDC182,ENSG00000166329,Coiled-coil domain containing 182,A6NF36,,CCDC182,101927581.0,,,,
ILK,ENSG00000166333,Integrin linked kinase,Q13418,602366.0,ILK,3611.0,Focal adhesion sites,Actin filaments;Cytosol;Nucleoplasm,,Actin filaments (GO:0015629);Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Nucleoplasm (GO:0005654)
TAF10,ENSG00000166337,TATA-box binding protein associated factor 10,Q12962,600475.0,TAF10,6881.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
TPP1,ENSG00000166340,Tripeptidyl peptidase 1,O14773,607998.0,TPP1,1200.0,,,,
DCHS1,ENSG00000166341,Dachsous cadherin-related 1,Q96JQ0,603057.0,DCHS1,8642.0,Plasma membrane,,,Plasma membrane (GO:0005886)
NETO1,ENSG00000166342,Neuropilin and tolloid like 1,Q8TDF5,607973.0,NETO1,81832.0,Golgi apparatus,,Predicted to be secreted,Golgi apparatus (GO:0005794)
MSS51,ENSG00000166343,MSS51 mitochondrial translational activator,Q4VC12,614773.0,MSS51,118490.0,Vesicles,Cytosol,,Cytosol (GO:0005829);Vesicles (GO:0043231)
CYB5A,ENSG00000166347,Cytochrome b5 type A,P00167,613218.0,CYB5A,1528.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
USP54,ENSG00000166348,Ubiquitin specific peptidase 54,Q70EL1,,USP54,159195.0,Mitochondria,,,Mitochondria (GO:0005739)
RAG1,ENSG00000166349,Recombination activating 1,P15918,179615.0,RAG1,5896.0,Nucleoplasm,Nucleoli,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
POTED,ENSG00000166351,POTE ankyrin domain family member D,Q86YR6,607549.0,POTED,317754.0,,,,
IFTAP,ENSG00000166352,Intraflagellar transport associated protein,Q86VG3,619270.0,IFTAP,119710.0,Cytosol,Aggresome,,Aggresome (GO:0016235);Cytosol (GO:0005829)
WDR88,ENSG00000166359,WD repeat domain 88,Q6ZMY6,,WDR88,126248.0,Golgi apparatus;Nucleoplasm,,,Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
OR10A5,ENSG00000166363,Olfactory receptor family 10 subfamily A member 5,Q9H207,608493.0,OR10A5,144124.0,,,,
OR2D2,ENSG00000166368,Olfactory receptor family 2 subfamily D member 2,Q9H210,608494.0,OR2D2,120776.0,,,,
ATP9B,ENSG00000166377,ATPase phospholipid transporting 9B (putative),O43861,614446.0,ATP9B,374868.0,,,,
PPFIBP2,ENSG00000166387,PPFIA binding protein 2,Q8ND30,603142.0,PPFIBP2,8495.0,Mitochondria,,,Mitochondria (GO:0005739)
MOGAT2,ENSG00000166391,Monoacylglycerol O-acyltransferase 2,Q3SYC2,610270.0,MOGAT2,80168.0,,,,
CYB5R2,ENSG00000166394,Cytochrome b5 reductase 2,Q6BCY4,608342.0,CYB5R2,51700.0,Golgi apparatus,Nucleoplasm,,Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
SERPINB7,ENSG00000166396,Serpin family B member 7,O75635,603357.0,SERPINB7,8710.0,Endoplasmic reticulum,Mitochondria,,Endoplasmic reticulum (GO:0005783);Mitochondria (GO:0005739)
GARRE1,ENSG00000166398,Granule associated Rac and RHOG effector 1,O15063,619335.0,GARRE1,9710.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SERPINB8,ENSG00000166401,Serpin family B member 8,P50452,601697.0,SERPINB8,5271.0,Actin filaments;Golgi apparatus,Cytosol,,Actin filaments (GO:0015629);Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
TUB,ENSG00000166402,TUB bipartite transcription factor,P50607,601197.0,TUB,7275.0,Basal body;Centriolar satellite,Plasma membrane;Vesicles,,Basal body (GO:0036064);Centriolar satellite (GO:0034451);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
RIC3,ENSG00000166405,RIC3 acetylcholine receptor chaperone,Q7Z5B4,610509.0,RIC3,79608.0,,,,
LMO1,ENSG00000166407,LIM domain only 1,P25800,186921.0,LMO1,4004.0,,,,
IDH3A,ENSG00000166411,Isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,P50213,601149.0,IDH3A,3419.0,Mitochondria,,,Mitochondria (GO:0005739)
WDR72,ENSG00000166415,WD repeat domain 72,Q3MJ13,613214.0,WDR72,256764.0,Vesicles,,,Vesicles (GO:0043231)
CRABP1,ENSG00000166426,Cellular retinoic acid binding protein 1,P29762,180230.0,CRABP1,1381.0,,,,
PLD4,ENSG00000166428,Phospholipase D family member 4,Q96BZ4,618488.0,PLD4,122618.0,,,,
ZMAT1,ENSG00000166432,Zinc finger matrin-type 1,Q5H9K5,301007.0,ZMAT1,84460.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
XRRA1,ENSG00000166435,X-ray radiation resistance associated 1,Q6P2D8,609788.0,XRRA1,143570.0,Nucleoplasm,Nuclear bodies,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
RNF169,ENSG00000166439,Ring finger protein 169,Q8NCN4,618650.0,RNF169,254225.0,Nuclear bodies;Nucleoplasm,Cytosol;Nucleoli;Nucleoli rim,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoli (GO:0005730);Nucleoli rim (GO:0005730);Nucleoplasm (GO:0005654)
RPL27A,ENSG00000166441,Ribosomal protein L27a,P46776,603637.0,RPL27A,6157.0,Cytosol;Endoplasmic reticulum,,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783)
DENND2B,ENSG00000166444,DENN domain containing 2B,P78524,140750.0,DENND2B,6764.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CDYL2,ENSG00000166446,Chromodomain Y like 2,Q8N8U2,618816.0,CDYL2,124359.0,,,,
TMEM130,ENSG00000166448,Transmembrane protein 130,Q8N3G9,,TMEM130,222865.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
PRTG,ENSG00000166450,Protogenin,Q2VWP7,613261.0,PRTG,283659.0,Cytosol,Plasma membrane;Vesicles,,Cytosol (GO:0005829);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
CENPN,ENSG00000166451,Centromere protein N,Q96H22,611509.0,CENPN,55839.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
AKIP1,ENSG00000166452,A-kinase interacting protein 1,Q9NQ31,609191.0,AKIP1,56672.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ATMIN,ENSG00000166454,ATM interactor,O43313,614693.0,ATMIN,23300.0,Nuclear bodies,,,Nuclear bodies (GO:0016604)
C16orf46,ENSG00000166455,Chromosome 16 open reading frame 46,Q6P387,,C16orf46,123775.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
TMEM41B,ENSG00000166471,Transmembrane protein 41B,Q5BJD5,620271.0,TMEM41B,440026.0,Peroxisomes,,,Peroxisomes (GO:0005777)
PKD1L2,ENSG00000166473,Polycystin 1 like 2 (gene/pseudogene),Q7Z442,607894.0,PKD1L2,114780.0,,,,
LEO1,ENSG00000166477,"LEO1 homolog, Paf1/RNA polymerase II complex component",Q8WVC0,610507.0,LEO1,123169.0,Nucleoli fibrillar center;Nucleoplasm,Centrosome,,Centrosome (GO:0005813);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
ZNF143,ENSG00000166478,Zinc finger protein 143,P52747,603433.0,ZNF143,7702.0,Nucleoplasm,Golgi apparatus;Nuclear bodies;Vesicles,,Golgi apparatus (GO:0005794);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
TMX3,ENSG00000166479,Thioredoxin related transmembrane protein 3,Q96JJ7,616102.0,TMX3,54495.0,,,,
MFAP4,ENSG00000166482,Microfibril associated protein 4,P55083,600596.0,MFAP4,4239.0,Endoplasmic reticulum,,Predicted to be secreted,Endoplasmic reticulum (GO:0005783)
WEE1,ENSG00000166483,WEE1 G2 checkpoint kinase,P30291,193525.0,WEE1,7465.0,Nucleoli,,,Nucleoli (GO:0005730)
MAPK7,ENSG00000166484,Mitogen-activated protein kinase 7,Q13164,602521.0,MAPK7,5598.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
PRKCB,ENSG00000166501,Protein kinase C beta,P05771,176970.0,PRKCB,5579.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
HDGFL3,ENSG00000166503,HDGF like 3,Q9Y3E1,616643.0,HDGFL3,50810.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
NDST2,ENSG00000166507,N-deacetylase and N-sulfotransferase 2,P52849,603268.0,NDST2,8509.0,Cytosol,,,Cytosol (GO:0005829)
MCM7,ENSG00000166508,Minichromosome maintenance complex component 7,P33993,600592.0,MCM7,4176.0,Nucleoplasm,Basal body;Cytosol,,Basal body (GO:0036064);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
CLEC3A,ENSG00000166509,C-type lectin domain family 3 member A,O75596,613588.0,CLEC3A,10143.0,Endoplasmic reticulum,,Predicted to be secreted,Endoplasmic reticulum (GO:0005783)
CCDC68,ENSG00000166510,Coiled-coil domain containing 68,Q9H2F9,616909.0,CCDC68,80323.0,Golgi apparatus,Cytosol,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
CLEC4E,ENSG00000166523,C-type lectin domain family 4 member E,Q9ULY5,609962.0,CLEC4E,26253.0,,,,
ZNF3,ENSG00000166526,Zinc finger protein 3,P17036,194510.0,ZNF3,7551.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CLEC4D,ENSG00000166527,C-type lectin domain family 4 member D,Q8WXI8,609964.0,CLEC4D,338339.0,,,,
ZSCAN21,ENSG00000166529,Zinc finger and SCAN domain containing 21,Q9Y5A6,601261.0,ZSCAN21,7589.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
RIMKLB,ENSG00000166532,Ribosomal modification protein rimK like family member B,Q9ULI2,614054.0,RIMKLB,57494.0,Centriolar satellite;Nucleoplasm,,,Centriolar satellite (GO:0034451);Nucleoplasm (GO:0005654)
A2ML1,ENSG00000166535,Alpha-2-macroglobulin like 1,A8K2U0,610627.0,A2ML1,144568.0,,,,
BEAN1,ENSG00000166546,Brain expressed associated with NEDD4 1,Q3B7T3,612051.0,BEAN1,146227.0,Nucleoplasm,Centrosome,,Centrosome (GO:0005813);Nucleoplasm (GO:0005654)
TK2,ENSG00000166548,Thymidine kinase 2,O00142,188250.0,TK2,7084.0,,,,
TMED3,ENSG00000166557,Transmembrane p24 trafficking protein 3,Q9Y3Q3,620437.0,TMED3,23423.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
SLC38A8,ENSG00000166558,Solute carrier family 38 member 8,A6NNN8,615585.0,SLC38A8,146167.0,,,,
SEC11C,ENSG00000166562,"SEC11 homolog C, signal peptidase complex subunit",Q9BY50,,SEC11C,90701.0,Nuclear membrane,Golgi apparatus,,Golgi apparatus (GO:0005794);Nuclear membrane (GO:0031965)
CPLX4,ENSG00000166569,Complexin 4,Q7Z7G2,609586.0,CPLX4,339302.0,,,,
GALR1,ENSG00000166573,Galanin receptor 1,P47211,600377.0,GALR1,2587.0,Plasma membrane,,,Plasma membrane (GO:0005886)
TMEM135,ENSG00000166575,Transmembrane protein 135,Q86UB9,616360.0,TMEM135,65084.0,Vesicles,,,Vesicles (GO:0043231)
IQCD,ENSG00000166578,IQ motif containing D,Q96DY2,,IQCD,115811.0,End piece;Mid piece;Principal piece,,,End piece ();Mid piece ();Principal piece ()
NDEL1,ENSG00000166579,NudE neurodevelopment protein 1 like 1,Q9GZM8,607538.0,NDEL1,81565.0,,,,
CENPV,ENSG00000166582,Centromere protein V,Q7Z7K6,608139.0,CENPV,201161.0,Nucleoplasm,Cytosol;Midbody,,Cytosol (GO:0005829);Midbody (GO:0030496);Nucleoplasm (GO:0005654)
CDH16,ENSG00000166589,Cadherin 16,O75309,603118.0,CDH16,1014.0,,,,
